country,port_name,locode
Canada,Beauharnois,CABHA
Canada,Beauharnois,CABHA
Canada,Beauharnois,CABHA
Canada,Beauharnois,CABHA
Canada,Beauharnois,CABHA
Canada,Beauharnois,CABHA
Canada,Beauharnois,CABHA
Canada,Beauharnois,CABHA
Canada,Beauharnois,CABHA
Canada,Beauharnois,CABHA
Canada,Beauharnois,CABHA
Canada,Beauharnois,CABHA
Canada,Beauharnois,CABHA
Canada,Beauharnois,CABHA
Canada,Beauharnois,CABHA
Canada,Beauharnois,CABHA
Canada,Beauharnois,CABHA
Canada,Beauharnois,CABHA
Canada,Beauharnois,CABHA
United States (USA),Belford,USQBF
United States (USA),Belford,USQBF
United States (USA),Belford,USQBF
United States (USA),Belford,USQBF
United States (USA),Belford,USQBF
United States (USA),Belford,USQBF
United States (USA),Belford,USQBF
United States (USA),Belford,USQBF
United States (USA),Belford,USQBF
United States (USA),Belford,USQBF
United States (USA),Belford,USQBF
United States (USA),Belford,USQBF
United States (USA),Belford,USQBF
United States (USA),Belford,USQBF
United States (USA),Belford,USQBF
United States (USA),Belford,USQBF
United States (USA),Belford,USQBF
United States (USA),Belford,USQBF
United States (USA),Belford,USQBF
United States (USA),Belford,USQBF
Germany,Bensersiel,DEBEN
Germany,Bensersiel,DEBEN
Germany,Bensersiel,DEBEN
Germany,Bensersiel,DEBEN
Germany,Bensersiel,DEBEN
Germany,Bensersiel,DEBEN
Germany,Bensersiel,DEBEN
Germany,Bensersiel,DEBEN
Germany,Bensersiel,DEBEN
Germany,Bensersiel,DEBEN
Germany,Bensersiel,DEBEN
Germany,Bensersiel,DEBEN
Germany,Bensersiel,DEBEN
Germany,Bensersiel,DEBEN
Germany,Bensersiel,DEBEN
Germany,Bensersiel,DEBEN
Germany,Bensersiel,DEBEN
Germany,Bensersiel,DEBEN
Germany,Bensersiel,DEBEN
Germany,Bensersiel,DEBEN
Netherlands,Beverwijk,NLBEV
Netherlands,Beverwijk,NLBEV
Netherlands,Beverwijk,NLBEV
Netherlands,Beverwijk,NLBEV
Netherlands,Beverwijk,NLBEV
Netherlands,Beverwijk,NLBEV
Netherlands,Beverwijk,NLBEV
Netherlands,Beverwijk,NLBEV
Netherlands,Beverwijk,NLBEV
Netherlands,Beverwijk,NLBEV
Netherlands,Beverwijk,NLBEV
Netherlands,Beverwijk,NLBEV
Netherlands,Beverwijk,NLBEV
Netherlands,Beverwijk,NLBEV
Netherlands,Beverwijk,NLBEV
Netherlands,Beverwijk,NLBEV
Netherlands,Beverwijk,NLBEV
Netherlands,Beverwijk,NLBEV
Netherlands,Beverwijk,NLBEV
Netherlands,Beverwijk,NLBEV
Malaysia,"Bintulu, Sarawak",MYBTU
Malaysia,"Bintulu, Sarawak",MYBTU
Malaysia,"Bintulu, Sarawak",MYBTU
Malaysia,"Bintulu, Sarawak",MYBTU
Malaysia,"Bintulu, Sarawak",MYBTU
Malaysia,"Bintulu, Sarawak",MYBTU
Malaysia,"Bintulu, Sarawak",MYBTU
Malaysia,"Bintulu, Sarawak",MYBTU
